test_file_path,pass_cnt,total_cnt,pass_rate,fail_test
./data/TDE-v2/benchmark-stackoverflow/47.json,3,5,0.6,"[{'input': 'This is one of the best breakfasts I have had! Is the decor dated? Absolutely but it just adds to the nostalgic charm! The place just reeks of beef cooking... Ahhh delicious! Check out the pastry cases!!!! OMG, is all I have to say!', 'output': ['OMG'], 'code_output': ['I', 'OMG,', 'I']}, {'input': 'When she asked if we had reservations, I replied no, and she commented NO? You KNOW IT IS SATURDAY. I wanted to say yes, yesterday was Friday and tomorrow is Sunday. Instead I replied that I was TERRIBLY sorry i did not realize i needed a reservation', 'output': ['NO', 'KNOW', 'IT', 'IS', 'SATURDAY', 'TERRIBLY'], 'code_output': ['I', 'NO?', 'KNOW', 'IT', 'IS', 'SATURDAY.', 'I', 'I', 'I', 'TERRIBLY']}]"
./data/TDE-v2/benchmark-stackoverflow/20.json,5,5,1.0,[]
./data/TDE-v2/benchmark-stackoverflow/17.json,5,5,1.0,[]
./data/TDE-v2/benchmark-stackoverflow/32.json,5,5,1.0,[]
./data/TDE-v2/benchmark-stackoverflow/2.json,10,10,1.0,[]
./data/TDE-v2/benchmark-stackoverflow/3.json,4,4,1.0,[]
./data/TDE-v2/benchmark-stackoverflow/13.json,3,4,0.75,"[{'input': '12334.137', 'output': '12,334.13', 'code_output': '12,334.14'}]"
./data/TDE-v2/benchmark-stackoverflow/44.json,5,5,1.0,[]
./data/TDE-v2/benchmark-stackoverflow/28.json,5,5,1.0,[]
./data/TDE-v2/benchmark-stackoverflow/48.json,5,5,1.0,[]
